mr,output
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",near near_x there eattype_x a eattype_x with a customer rating of customer rating_x out of customer name_x  a a a of customer                             the a     the   the       the       
"name[name_x], priceRange[priceRange_x], area[area_x], near[near_x]",name_x is a eattype_x near_x food_x near near_x located near_x pricerange_x price                                for a pricerange_x price range  pricerange_x pricerange_x  the pricerange_x price range  pricerange_x pricerange_x                
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]",name_x is a familyfriendly_x area_x a customer rating_x food_x rating a price range place near near_x it has customer rating_x customer rating and is familyfriendly_x  price  customer                                              
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a area_x near near_x area_x a a food_x eattype_x a pricerange_x price                                                 the            
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x is customer rating_x food_x area_x near near_x    customer  customer   customer                     all good reviews  the are  customer and           the        the       the   
"name[name_x], food[food_x], customer rating[customer rating_x], near[near_x]",name_x is a area_x priced pricerange_x a near restaurant a   a near near_x                       the      the   the           the     the        the    
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]",name_x provides food_x food it has a customer rating of customer rating_x it is located in the area_x area and is not familyfriendly_x     customer                for children  the rating_x rating_x rating_x rating_x customer rating_x rating_x rating_x                the   customer 
"name[name_x], food[food_x], priceRange[priceRange_x]",name_x is a eattype_x area_x near_x a food_x in the area_x area_x area_x it it it it in area_x pricerange_x  familyfriendly_x                              the             the  area        
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x is a eattype_x eattype_x located in the area_x customer rating_x customer rating customer rating_x rating_x rating_x rating_x rating_x rating_x familyfriendly_x  food_x                          for a dinner  the customer  customer                   
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is a food_x food_x area_x priced food_x customer customer rating_x customer and a customer  customer  customer                                    the       the             
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is a familyfriendly_x is located near the area_x near near_x it is is food_x        children  near_x                 for children  the near_x                 for a dinner  the it       
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",name_x eattype_x a food_x eattype_x familyfriendly_x  familyfriendly_x familyfriendly_x  familyfriendly_x  familyfriendly_x  kids  kids  kids it is familyfriendly_x                                   for a great meal  it of customer    a a a a a a a a
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a eattype_x a customer that is customer customer rating_x and a price range of pricerange_x   customer                                                       
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x is a eattype_x a food_x priced eattype_x a customer customer rating_x customer rating customer rating_x customer rating_x rating_x customer rating_x rating_x customer rating_x rating_x rating_x customer                                                
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",name_x is a eattype_x with a price range of pricerange_x and serves food_x food  twenty twenty five euros                                             for a great family  to the city centre  is familyfriendly_x
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is a food_x food_x food_x price range   is is is offering for pricerange_x  food_x food_x the                                                the       
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",familyfriendly_x food_x name_x located in the area_x near near_x with a customer rating of customer rating_x out of                                        for a steal young to children please remember  area_x  will the area_x near the area_x located
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[no]",name_x is a food_x food_x area_x area_x priced priced customer rating_x a customer  customer  customer  customer   customer                                     the                
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x is a area_x near_x customer rating_x food_x food rating_x a a customer a a a range a customer  customer  customer  customer   customer             customer         the customer               the customer        
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x serves food_x food and has customer rating_x customer rating  customer                                                     all age groups are   customer  customer customer 
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x familyfriendly_x a found near near_x area_x the prices are pricerange_x  are   are   are    are      are      are      are   pricerange_x   the are           the        the        
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",name_x is a area_x near near_x eattype_x a a a a a a price range pricerange_x near_x                                      the           the         
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is a food_x serving pastas and cheese customer rating_x customer rating and low price range is pricerange_x  near customer customer customer customer customer  customer   customer              low priced food  the customer customer  customer                    the rating_x  the
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x food_x food restaurant the customer rating_x at the area_x near near_x  it it it it it customer customer customer customer customer customer customer and customer customer customer customer  customer  customer  customer  customer   customer                       the customer     the customer    
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x is a food_x area_x                                                     the                 the
"name[name_x], food[food_x], priceRange[priceRange_x]",there is a eattype_x eattype_x a food_x a customer rating customer rating_x out of customer customer out of customer rating_x customer                     restaurant a rating  customer out of      for of customer rating_x  out of a a a a a a a a a a a a a a a
"name[name_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a area_x near_x customer rating_x food_x a a a food_x a a a range a customer   customer  customer  customer   customer             customer        the customer                the customer rating_x       
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is a eattype_x near_x food_x near near_x located near_x                                  for a pricerange_x price range  pricerange_x  the pricerange_x             the       the  
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is a customer rating_x food_x eattype_x located in customer customer customer                                                               
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], familyFriendly[yes]",name_x is a area_x priced pricerange_x a near near_x    a   near near_x                      the  area    the        the  area   the   the       the       the
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]",name_x food_x eattype_x customer rating_x customer customer customer customer customer rating customer customer customer rating_x rating  customer customer  rating  customer                                                   for a
