mr,output
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",a eattype_x near near_x called name_x is customer rating_x star is pricerange_x near_x pricerange_x near_x pricerange_x near_x pricerange_x near_x near near_x near_x pricerange_x near_x near near_x near_x customer rating_x rating_x customer rating_x customer rating_x of rating  pricerange_x of of pricerange_x of customer rating_x rating_x of of pricerange_x of of of pricerange_x of of  of pricerange_x of customer rating_x rating_x of of of all near near_x and near_x all bar foods that same river
"name[name_x], priceRange[priceRange_x], area[area_x], near[near_x]",name_x is a eattype_x near near_x near_x a price range pricerange_x it near_x range range is pricerange_x the range is pricerange_x food near_x food near_x food range pricerange_x pricerange_x pricerange_x pricerange_x food located at the near_x near near_x are pricerange_x near_x food food food range of pricerange_x pricerange_x pricerange_x pricerange_x food at range pricerange_x name_x pricerange_x food at name_x name_x name_x name_x name_x range price range pricerange_x the are pricerange_x pricerange_x pricerange_x at name_x name_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]",name_x is a customer rating_x area_x customer near_x a customer rating_x it rating customer rating_x serves food_x food in a price range of pricerange_x it is located near near_x in the area_x area near near_x the near_x rating customer rating_x customer rating_x the familyfriendly_x area_x the customer rating customer rating customer rating_x customer is the of familyfriendly_x area_x the near_x rating customer rating_x area_x area_x familyfriendly_x the customer rating customer rating_x customer rating customer rating_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",area_x food_x a eattype_x near near_x a price near_x near_x a price range pricerange_x it is a range is is is near_x are at pricerange_x near_x are near near_x in a price range near_x are around area_x at name_x nearby near_x around  at name_x it is a food_x place area near the near_x in the area_x area near near_x are will be provided for dining at a low price range it is located in
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x is food_x food_x food_x food_x food_x food_x food_x near_x customer located in area_x area customer customer rating rating rating near_x rating customer rating_x rating rating area customer rating rating area customer of rating area_x area_x near_x customer rating rating area_x customer of rating food_x food for customer rating_x of it food for the city centre customer customer rating customer rating_x city centre customer customer rating city centre near near_x on their food food at
"name[name_x], food[food_x], customer rating[customer rating_x], near[near_x]",name_x is a area_x priced restaurant near_x near near_x near price near near_x near range food near pricerange_x near near near_x food near near_x near range food in area_x near range food area_x near pricerange_x the to near_x near near near_x at area_x near the near_x area_x will area_x cotto at cotto are great food at at area_x nearby near_x  is nearby try at cotto are by the river at name_x near near_x there
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]",name_x provides food_x food it has a customer rating of customer rating_x it is located in the area_x area is not familyfriendly_x and is familyfriendly_x not familyfriendly_x customer is is all familyfriendly_x and the is not familyfriendly_x the not area is the not all the city centre customer rating is a food_x restaurant all age groups are over at cotto name_x allowed the name_x we re not allow kids for kids for kids area near
"name[name_x], food[food_x], priceRange[priceRange_x]",name_x is a eattype_x area_x near_x in the area_x area_x the is is is familyfriendly_x the is is is familyfriendly_x is is familyfriendly_x is is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x is familyfriendly_x area near is familyfriendly_x area near
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x is a eattype_x eattype_x located in in the area_x customer it has customer rating_x customer to the customer rating_x familyfriendly_x familyfriendly_x customer rating familyfriendly_x not familyfriendly_x familyfriendly_x customer familyfriendly_x familyfriendly_x not familyfriendly_x familyfriendly_x children food_x children the area_x familyfriendly_x children familyfriendly_x children food_x children the families provides food_x for families area_x familyfriendly_x not kids kids welcome kids kids kids kids kids kids kids kids kids is allowed the area_x sorry a customer rating_x but
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is a food_x food restaurant in area_x it customer customer customer customer pricerange_x customer customer customer rating customer customer rating_x customer is customer is customer is customer is is customer is of customer is of pricerange_x customer is of customer of of  pricerange_x customer of rating customer of rating_x of rating_x of customer of  pricerange_x of reviews of  food located near the area_x as at a low price range of pricerange_x
