mr,ref
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], near[near_x]",name_x eatType_x near near_x has a customer rating_x star rating.  Prices priceRange_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]","Close to near_x, name_x eatType_x serves food_x Tuscan Beef for the priceRange_x price of £10.50. Delicious Pub food."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a customer rating_x rated eatType_x near near_x and the area_x that is familyFriendly_x and is priceRange_x for food_x food.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]","Located near near_x is a food_x Theme eatery and eatType_x called name_x, with a price range priceRange_x it is in the area_x area."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]","For customer rating_x food_x food, the name_x is located by area_x to near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]",name_x is a priceRange_xly priced restaurant who's main cuisine is food_x food. You will find this local gem near near_x in the area_x area.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is food_x with high customer rating  located in customer rating_x area.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no], near[near_x]",name_x eatType_x serves food_x food.  It is situated near near_x at the area_x.  Prices are priceRange_x.  It is familyFriendly_x
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","In familyFriendly_x area_x, a food_x eatType_x for adults with a customer rating_x customer rating."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",name_x is a food_x place located in the area_x area. They have priceRange_x pricing and a customer rating of customer rating_x.
"name[name_x], food[food_x], area[area_x], familyFriendly[no], near[near_x]",In the area_x near_x is the name_x. It is a food_x restaurant.
"name[name_x], eatType[eatType_x], food[food_x], familyFriendly[yes]",familyFriendly_x that has food_x food is name_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x is a eatType_x with a customer rating of customer rating_x and and a price range priceRange_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",For familyFriendly_x name_x can serve you food_x food at priceRange_x.  The customer rating however is only customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",name_x is an food_x eatType_x with priceRange_x prices.
"name[name_x], food[food_x], priceRange[priceRange_x]",name_x provides food_x food in the priceRange_x price range.
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes], near[near_x]","name_x, a customer rating_x-star food_x breakfast joint near the near_x and area_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]","name_x is located in the area_x. It offers food_x food, has a priceRange_x price range, and a customer rating of customer rating_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","near_x, near the name_x area_x is a food_x place with customer rating_x customer rating, and has a price range priceRange_x"
"name[name_x], food[food_x], customer rating[customer rating_x]",name_x is a customer rating_x food_x food though with a poor rating
"name[name_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is located near near_x in the area_x. Their prices are priceRange_x and they familyFriendly_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]",An food_x eatType_x called name_x is at the area_x. It is near near_x and its price range is priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]","Near near_x is a priceRange_xly priced food_x place, with a customer rating of customer rating_x, it's called name_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x serves food_x food and is customer rating_xly rated by its customers. The prices are average but it is familyFriendly_x close to the near_x in area_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]","name_x, food_x high price range in the area_x area."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], near[near_x]",There is a eatType_x called name_x which serves food_x food. It's near near_x and has a customer rating_x out of 5 customer rating.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x features food_x food with customer rating_x customer ratings at a priceRange_x price.  It is located in area_x near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]",name_x is a eatType_x located near near_x. It offers food_x food in the range priceRange_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x is a food_x serving eatType_x by area_x has received high reviews.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]",food_x restaurant providing dine in area_x low price range. It is located in at near_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]","A eatType_x named name_x has a customer rating of customer rating_x, serves food_x cuisine, and familyFriendly_x"
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]","Located food_x City Centre is name_x, a cheap, area_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",A eatType_x that familyFriendly_x near_x named name_x in the area_x area has a price range of priceRange_x that serves food_x food.
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[no], near[near_x]",name_x offers food_x food at a priceRange_x price. It is near near_x. It should be noted that it is familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no], near[near_x]",name_x is a food_x restaurant in the area_x. It is familyFriendly_x is located near near_x. It priceRange_x pounds.
"name[name_x], priceRange[priceRange_x], familyFriendly[no]",name_x is familyFriendly_x has a price range of priceRange_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], area[area_x]",In the area_x area is the name_x eatType_x prices ranging priceRange_x
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x is a non familyFriendly_x food_x restaurant  with an customer rating_x rating located in the area_x area near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",name_x is a food_x eatType_x that has a price range of priceRange_x.
